id,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10,recommendation11,recommendation12
tt0442781,tt0920457,tt0417241,tt1039952,tt4258292,tt2555958,tt1705772,tt0984177,tt3320578,tt0807944,tt1388441,tt1891755,tt5178278
tt0428856,tt0273069,tt0415932,tt0117221,tt4428814,tt0232083,tt0437526,tt1899270,tt0348732,tt1942120,tt1798194,tt10088984,tt1119147
tt0914797,tt2204371,tt0483756,tt0212380,tt5161502,tt0129023,tt2404728,tt2419284,tt0448124,tt0103129,tt7959898,tt0375063,tt0110496
tt0099316,tt0094678,tt8542144,tt0095255,tt0102500,tt0102818,tt0104695,tt0099581,tt0082031,tt0086205,tt0104107,tt0100201,tt0101371
tt0229480,tt0218088,tt0282672,tt0088116,tt0092873,tt0193879,tt0095716,tt0092209,tt0075999,tt0092910,tt0067434,tt0099151,tt0164393
tt0082677,tt0077355,tt0088024,tt0083336,tt0069137,tt0072267,tt0098093,tt0070048,tt0079240,tt0093185,tt0066769,tt0080025,tt0097007
tt0067345,tt0073835,tt0076175,tt0055539,tt0072284,tt0067686,tt0075229,tt0059470,tt0050126,tt0072812,tt0078508,tt0062445,tt0065720
tt0037386,tt0036983,tt0034027,tt0032842,tt0042176,tt0038178,tt0042242,tt0041247,tt0034208,tt0038107,tt0040102,tt0042046,tt0048967
tt0073233,tt0067963,tt0076734,tt0081547,tt0070842,tt0086543,tt0089153,tt2171875,tt0389557,tt0080105,tt0114436,tt1016144,tt0082361
tt0111003,tt0106452,tt0120458,tt0119891,tt0098143,tt0118956,tt0097179,tt0479125,tt0097737,tt0120004,tt0100438,tt0107899,tt0102728
tt0105399,tt0103950,tt0108656,tt0114126,tt0099558,tt0116704,tt0092501,tt0117786,tt0091427,tt0093015,tt0098019,tt0091431,tt0104558
tt0399327,tt0947802,tt0462229,tt0331933,tt0416185,tt0105101,tt0264472,tt0271668,tt0227984,tt0954541,tt1385867,tt0372217,tt0417148
tt0168043,tt0159432,tt0216165,tt0176809,tt0220644,tt0250638,tt0969269,tt0491244,tt0796212,tt1371585,tt0434008,tt0374184,tt0120541
tt0384177,tt0112387,tt0098596,tt0081182,tt0269461,tt0186730,tt0109798,tt0071622,tt2176786,tt0099341,tt0081686,tt0910905,tt1646985
tt0084732,tt0079437,tt0089816,tt0090567,tt0092206,tt0082353,tt0093277,tt0119594,tt0091188,tt0166943,tt0092641,tt0094924,tt0091396
tt0034182,tt0034889,tt0035369,tt0035195,tt0037343,tt0035244,tt0037627,tt0041361,tt0033038,tt0039152,tt0040946,tt0032383,tt0050763
tt0113278,tt0110052,tt0097630,tt0111264,tt0107333,tt0113948,tt0117238,tt0113950,tt0141843,tt0101482,tt0097176,tt0102202,tt0115471
tt0831888,tt0452039,tt0113799,tt0293416,tt0385586,tt0388473,tt1483797,tt0291350,tt0439533,tt0851578,tt0193253,tt9065206,tt1121794
tt0211718,tt0122082,tt1495823,tt0463381,tt0400420,tt6814914,tt0107376,tt3565174,tt0307538,tt0211445,tt0117076,tt13845736,tt2077788
tt0119086,tt0106627,tt0112438,tt0124298,tt0286947,tt0269281,tt15832318,tt0359984,tt0108049,tt0138467,tt0114736,tt0469623,tt15760934
tt0120408,tt0084390,tt0289054,tt0097694,tt0079182,tt0057829,tt0063173,tt0155796,tt0060560,tt0057363,tt0054709,tt0094370,tt0051980
tt0029120,tt0027914,tt0028661,tt0030413,tt0048527,tt0033105,tt0022276,tt0025740,tt0025132,tt0048967,tt0023926,tt0042376,tt0035605
tt0024894,tt0026912,tt0023249,tt0024188,tt0023293,tt0032258,tt0023245,tt0034398,tt0027800,tt0024184,tt0021814,tt0026138,tt0033397
tt0119434,tt7421814,tt13097858,tt10224134,tt13342118,tt11707320,tt12822926,tt13320784,tt0108334,tt0119582,tt0127276,tt0131349,tt0114988
tt0072933,tt0071464,tt0077497,tt0085486,tt0160245,tt0095094,tt0092962,tt0079104,tt0072930,tt0082640,tt0073115,tt0075987,tt0074478
tt0221218,tt0498348,tt0206314,tt0814335,tt0278435,tt0118744,tt1265990,tt0880578,tt0116287,tt1294731,tt0486822,tt0795351,tt0331468
tt0083798,tt0085894,tt0086873,tt0079367,tt0087635,tt0093886,tt0102250,tt0095031,tt0082894,tt0100212,tt0092086,tt0089628,tt0075626
tt0369295,tt0265101,tt0112570,tt0775437,tt0118762,tt1104686,tt1806823,tt0367631,tt1034320,tt0443431,tt0316147,tt0310124,tt10923090
tt0035244,tt0040946,tt0037702,tt0032383,tt0035195,tt0036038,tt0035369,tt0037627,tt0032850,tt0036092,tt0034889,tt0039931,tt0033038
tt0091818,tt0107668,tt0084749,tt0076914,tt0090009,tt0086276,tt0163375,tt0090904,tt0089963,tt0096757,tt0087759,tt0097138,tt0078078
tt0030287,tt0032701,tt0031210,tt0033836,tt0035140,tt0026261,tt0037094,tt0027532,tt0041452,tt0025586,tt0032194,tt0031750,tt0032145
tt0046878,tt0049552,tt0039768,tt0033107,tt0045465,tt0051959,tt0044954,tt0033740,tt0040695,tt0039211,tt0043088,tt0043938,tt0036581
tt0161292,tt0289944,tt0425379,tt0396184,tt0117407,tt10484276,tt0862467,tt1426362,tt0498134,tt1520452,tt0165623,tt0154378,tt1954315
tt0002461,tt0002381,tt0319904,tt0049674,tt0483789,tt0774049,tt8680254,tt0081426,tt0114279,tt0091851,tt0006206,tt0003643,tt0015202
tt0026942,tt0024025,tt0027630,tt0029971,tt0031983,tt0029546,tt0025164,tt0041158,tt0028333,tt0027125,tt0028757,tt0032671,tt0032284
tt0435286,tt0420076,tt0347791,tt0875609,tt1160525,tt1226251,tt1000095,tt0287635,tt1468843,tt1690470,tt0235679,tt0210234,tt1739212
tt0337876,tt0203119,tt1441395,tt0422295,tt0188453,tt0114681,tt0935075,tt7160372,tt0757361,tt11197444,tt1103256,tt0117364,tt16127660
tt0092644,tt0086960,tt0109254,tt0083511,tt0086465,tt0099044,tt0097733,tt0104714,tt0091129,tt0094898,tt0093409,tt0122151,tt3083016
tt0052600,tt0050634,tt0053317,tt0049783,tt0053106,tt0073488,tt0068161,tt0075404,tt0070861,tt0053712,tt0067517,tt0047650,tt0079579
tt0158714,tt0072157,tt0068815,tt0226872,tt0068816,tt0068817,tt0143428,tt0071695,tt0143348,tt0226874,tt0060277,tt0226875,tt0081506
tt0097498,tt0093854,tt0093171,tt0088359,tt1430116,tt0095716,tt0086978,tt0118912,tt0090837,tt0090094,tt0044698,tt0089091,tt0090627
tt0089715,tt0079710,tt0072274,tt0078481,tt0083745,tt0116745,tt0100873,tt0068732,tt0086377,tt0092646,tt0079256,tt0089160,tt0088074
tt0085750,tt0077766,tt0093300,tt11319636,tt0073195,tt13077702,tt0112747,tt12236244,tt9380252,tt13472058,tt7228320,tt5355468,tt14059620
tt0227277,tt0064485,tt0079845,tt0066101,tt0077734,tt0081991,tt0071844,tt2267554,tt0079002,tt0053570,tt0112609,tt0124312,tt0232083
tt0043469,tt0047013,tt0045184,tt0039931,tt0047449,tt0046719,tt0049432,tt0045846,tt0039737,tt0048055,tt0049434,tt0045621,tt0060095
tt0036376,tt0027545,tt0037793,tt0034786,tt0036931,tt0035899,tt0036959,tt0034902,tt0037099,tt0035096,tt0037098,tt0032637,tt0031951
tt0082892,tt0089793,tt11617584,tt0088015,tt0201380,tt0062598,tt1408434,tt0084701,tt0235912,tt0118424,tt2038248,tt0066227,tt0093744
tt0031742,tt0031385,tt0030637,tt0031593,tt0027075,tt0024473,tt0020686,tt0105046,tt0026266,tt0082838,tt0032671,tt0032728,tt0027884
tt0120794,tt0138749,tt0264734,tt0118617,tt0116583,tt0165982,tt0166813,tt0230011,tt0133240,tt0328880,tt0120762,tt0114148,tt0119282
tt0072342,tt0078467,tt0073169,tt0076313,tt0070453,tt0052708,tt0064861,tt0064106,tt0066318,tt0064323,tt0092797,tt0071890,tt0164368
tt0048682,tt0052646,tt0049370,tt0050748,tt0053611,tt0052969,tt0049287,tt0052188,tt0024210,tt0050432,tt0050998,tt0048078,tt0054017
tt0098157,tt0090849,tt0080931,tt8727102,tt0117609,tt0082000,tt0167147,tt0087998,tt0092809,tt0093833,tt0077247,tt0234748,tt0082559
tt0104418,tt0081184,tt0087981,tt0082346,tt0094794,tt0113690,tt0155350,tt0096426,tt0107664,tt0105459,tt0110667,tt0093624,tt0090192
tt0047542,tt0048347,tt0040427,tt0046928,tt0045877,tt0041968,tt0042369,tt0044893,tt0049384,tt0044789,tt0042869,tt2569236,tt0047370
tt0101879,tt0109835,tt0095357,tt0094020,tt0113002,tt0087866,tt0113069,tt0119318,tt0101660,tt0114037,tt0158049,tt0116352,tt0095599
tt0254455,tt0133363,tt1263750,tt0106305,tt0117909,tt0301524,tt0103186,tt0352230,tt0456340,tt0125659,tt1879030,tt0256103,tt0245574
tt0073496,tt0078044,tt0077716,tt0119942,tt0078843,tt0072973,tt0084273,tt2825806,tt0069736,tt0067783,tt0072218,tt0069249,tt0075359
tt0076725,tt0083096,tt0077318,tt0077309,tt0073262,tt0079596,tt0079374,tt0081076,tt0079383,tt0117968,tt0083356,tt0067204,tt0056371
tt0138703,tt0110823,tt3627704,tt0095863,tt0079714,tt0483496,tt0074714,tt0098415,tt0074739,tt0281686,tt5748786,tt11316314,tt10680380
tt0072006,tt0069273,tt0083630,tt0066905,tt0082464,tt0071330,tt0072349,tt0072747,tt0063058,tt0069753,tt0282672,tt0091636,tt0079946
tt0450232,tt0340163,tt0119395,tt0116830,tt0314353,tt0120749,tt0118883,tt0102266,tt0080928,tt0112401,tt0398712,tt0300556,tt0425210
tt0438488,tt0181852,tt1340138,tt6450804,tt0088247,tt0103064,tt1424381,tt0093773,tt0100403,tt0118583,tt0851851,tt0098321,tt0103644
tt0067367,tt0066518,tt0069427,tt0065580,tt0057226,tt0068502,tt0067176,tt0067924,tt0065851,tt0068290,tt0065073,tt0068505,tt0067713
tt0029606,tt0047522,tt0075265,tt0030287,tt1517451,tt0030637,tt0029162,tt0029604,tt0027996,tt0027532,tt0035575,tt2076149,tt0025586
tt0419677,tt0202559,tt0480025,tt1204340,tt0120391,tt2126154,tt2528254,tt1172206,tt1685471,tt10484276,tt0498134,tt1426362,tt0119792
tt0442933,tt0970452,tt0146316,tt0253556,tt0346156,tt0120657,tt0325703,tt0386140,tt0120746,tt0338526,tt0120604,tt0402057,tt0268695
tt0075824,tt0071487,tt0068361,tt0066491,tt0061395,tt0066534,tt0056732,tt0058249,tt0055601,tt0059873,tt0070411,tt0021969,tt0059719
tt0090037,tt0077613,tt0111689,tt0092238,tt0100003,tt1503716,tt0067482,tt0464105,tt0118866,tt0068718,tt0104073,tt0206871,tt0071269
tt0097373,tt0097880,tt0099750,tt0088146,tt0092804,tt0102456,tt0091786,tt0082138,tt0102789,tt0100168,tt0114857,tt0115956,tt0313443
tt0382295,tt1167599,tt0376990,tt0428646,tt0265691,tt0321436,tt2914892,tt0803100,tt3488462,tt1584941,tt1473352,tt0418325,tt0386327
tt0114369,tt0137523,tt0102926,tt0110912,tt0109830,tt1853728,tt1375666,tt0120689,tt1130884,tt0099685,tt0361748,tt0120815,tt0468569
tt0116729,tt0105019,tt0476681,tt0090579,tt3430416,tt1239446,tt0155810,tt0365289,tt0498134,tt1954315,tt1520452,tt10484276,tt15310530
tt0071746,tt0078754,tt0921768,tt0068327,tt3121332,tt0066883,tt0256153,tt0069815,tt0086355,tt4720674,tt0107535,tt0053050,tt0065054
tt0044030,tt0043880,tt0054188,tt0045586,tt0072272,tt0037059,tt0056262,tt0030368,tt0026252,tt0044685,tt0042327,tt0044672,tt0037120
tt0362270,tt0838221,tt0265666,tt0128445,tt1748122,tt0115734,tt5104604,tt2278388,tt1094249,tt3707014,tt0109322,tt3331512,tt8847712
tt0028676,tt0029165,tt0029529,tt0031215,tt0036203,tt0029047,tt0038873,tt0035431,tt0027258,tt0043668,tt0032651,tt0027860,tt0030418
tt0104573,tt0107554,tt0109035,tt0107840,tt0102526,tt0101507,tt0255819,tt0105450,tt0112819,tt0259484,tt0113118,tt0118900,tt0117603
tt0435696,tt1210801,tt1261862,tt0926110,tt0117653,tt0110490,tt0098180,tt1641841,tt1182609,tt0099817,tt0402127,tt0179477,tt0368688
tt0087363,tt0099700,tt0097428,tt0087332,tt0103776,tt2918116,tt13921978,tt0096895,tt0094721,tt0084516,tt0093437,tt0091064,tt0099487
tt0090357,tt0096454,tt0093260,tt0086491,tt0066249,tt0088011,tt0094155,tt0218182,tt5868554,tt0165859,tt0099073,tt0110197,tt13875414
tt0126651,tt0415964,tt3890082,tt0279765,tt6833964,tt0164877,tt1068899,tt0237993,tt1554091,tt1290138,tt1567609,tt1260502,tt15101964
tt0970462,tt1236471,tt1236484,tt1361828,tt2368553,tt3448226,tt4146622,tt0486640,tt0279037,tt1722426,tt1331329,tt0279695,tt1756427
tt0768212,tt0410377,tt0760329,tt0457419,tt3553414,tt0839976,tt0970411,tt0396707,tt0494238,tt0416236,tt0413895,tt0385752,tt0398808
tt0783532,tt3487278,tt0468565,tt0781377,tt3331028,tt3993886,tt1365050,tt9239888,tt0084671,tt6792282,tt1692190,tt0430308,tt9285882
tt0120723,tt0098645,tt0110099,tt0171433,tt0231775,tt0095684,tt0078721,tt0295289,tt0088414,tt0091680,tt0325537,tt0117332,tt0387514
tt0253556,tt0120657,tt0238380,tt0296572,tt0134847,tt0114366,tt0318649,tt1411250,tt0114898,tt0119665,tt0298408,tt0116136,tt0386140
tt0069404,tt0072083,tt0107535,tt0066883,tt0037096,tt0046881,tt0065838,tt0066198,tt0065703,tt0474312,tt0035415,tt2551492,tt0062271
tt0168501,tt2083355,tt0161100,tt0297037,tt0250274,tt0120169,tt0119572,tt0199725,tt0269341,tt0110186,tt0301181,tt0117603,tt0114885
tt0101578,tt9036170,tt0094521,tt2842732,tt0095222,tt0212947,tt0194109,tt1438214,tt0111586,tt0092734,tt0086146,tt0100611,tt0105402
tt0048535,tt0048703,tt0043781,tt0042315,tt0040245,tt0048289,tt0038284,tt0039441,tt0048690,tt0053441,tt0039908,tt0050296,tt0046375
tt0453467,tt1111422,tt1037705,tt0477080,tt0454848,tt0251160,tt1907668,tt0328107,tt0455944,tt0139654,tt1272878,tt3766354,tt0145681
tt0093502,tt0089746,tt0095597,tt0127310,tt0104874,tt0098972,tt0133089,tt0092048,tt0133170,tt0131013,tt0106651,tt0194426,tt0087377
tt0474642,tt1672078,tt0389425,tt0411705,tt1233487,tt0194314,tt0254455,tt0418832,tt0287963,tt1187044,tt1263750,tt1660379,tt2080323
tt0072271,tt0324216,tt0087800,tt0083907,tt0092076,tt0080761,tt0077651,tt0070047,tt0074285,tt0092991,tt0093177,tt0063350,tt0094862
tt0053183,tt0076342,tt0041996,tt0045679,tt0062377,tt0047376,tt0046029,tt0051565,tt0047279,tt0052617,tt0046806,tt0043379,tt0062886
tt0018066,tt0017128,tt0019286,tt0019649,tt0020451,tt0018217,tt0015673,tt0017271,tt0015361,tt0021571,tt0018505,tt0019611,tt0018526
tt0096163,tt0123948,tt0108473,tt0069995,tt0165623,tt0082933,tt0053459,tt0074811,tt0063633,tt0235198,tt0082085,tt0286751,tt0059646
tt0035749,tt0039634,tt0035103,tt0036406,tt0034241,tt0045591,tt0037761,tt0036391,tt0036349,tt0038369,tt0035996,tt0043116,tt0033167
tt0068327,tt0078754,tt0071746,tt0256153,tt0055614,tt0065054,tt5605730,tt0299658,tt0436153,tt0066026,tt0084865,tt0043278,tt0067309
tt0095145,tt0098519,tt0093690,tt0097172,tt0100232,tt0090660,tt0097366,tt0092214,tt0163318,tt0100135,tt0090196,tt0104299,tt0104389
tt0098165,tt0096029,tt0091142,tt0066858,tt0066109,tt0076868,tt0095488,tt0066579,tt0071797,tt0073298,tt0066993,tt0097859,tt0087100
tt0119809,tt0112887,tt0108366,tt0104745,tt0127296,tt1523483,tt0370986,tt0244842,tt0780608,tt0094134,tt0191250,tt5222904,tt2238050
tt0095662,tt0092798,tt0082121,tt0084809,tt0101356,tt0075223,tt0088850,tt0098282,tt0076106,tt0081562,tt0083107,tt0076913,tt0091295
tt0423176,tt0318025,tt0258885,tt1103963,tt0144020,tt0859765,tt3740778,tt2852400,tt1646103,tt7298400,tt1054062,tt0855784,tt0377556
tt0330843,tt0985636,tt0833553,tt0420332,tt0991346,tt0120456,tt0419468,tt0272736,tt0122427,tt0986213,tt0390614,tt0233422,tt0107321
tt0089565,tt0082640,tt4110246,tt7248144,tt0071464,tt7177870,tt0108162,tt0023196,tt0109593,tt1273235,tt0059435,tt0067309,tt6450516
tt0095016,tt0099423,tt0097576,tt0112864,tt0082971,tt0107290,tt0103064,tt0088763,tt0086190,tt0090605,tt0167404,tt0076759,tt0078748
tt0210302,tt0163563,tt0417243,tt0491399,tt0114690,tt0330904,tt1842532,tt0105569,tt0852726,tt7117352,tt3893038,tt0166069,tt0100991
tt0079822,tt0068795,tt0079912,tt0012190,tt0080199,tt0082511,tt0088207,tt0088044,tt0086999,tt0074258,tt0077372,tt0047191,tt0051849
tt0048954,tt0051383,tt0047688,tt0045963,tt0038116,tt0056138,tt0120321,tt0029747,tt0043278,tt0037536,tt0055256,tt0045592,tt0033028
tt0411117,tt0065207,tt0437526,tt1139800,tt1332650,tt0486474,tt1555084,tt1721683,tt1198153,tt0369035,tt1032842,tt11891600,tt7578492
tt0031235,tt0027438,tt0033226,tt0033021,tt0031826,tt0038048,tt0033028,tt0034277,tt0026174,tt0030044,tt0040076,tt0034694,tt0034778
tt0772200,tt0476991,tt2866824,tt0372122,tt0433350,tt1408972,tt0446051,tt1712573,tt0379265,tt0415833,tt1130987,tt1440741,tt0119465
tt0325596,tt0218817,tt0119547,tt2403558,tt0428541,tt0119732,tt0252445,tt0893402,tt0245501,tt1946310,tt1525890,tt6301784,tt1173687
tt0292490,tt0405508,tt1562872,tt0169102,tt0374887,tt1093370,tt2082197,tt0347304,tt0456144,tt2356180,tt0367110,tt2283748,tt0200087
tt0104431,tt0099785,tt0119303,tt2308733,tt0113497,tt0477347,tt0367594,tt0338348,tt0268380,tt0107614,tt11012066,tt0319343,tt0295297
tt0209368,tt0117324,tt0106638,tt0189593,tt0118030,tt0280632,tt0091067,tt0237934,tt0347755,tt0107046,tt0215139,tt0116931,tt0298504
tt0079714,tt0095863,tt0110823,tt0138703,tt3627704,tt0095925,tt0091223,tt0089885,tt0082533,tt0095583,tt0094761,tt0080749,tt0083624
tt0090186,tt0091462,tt0090917,tt0096920,tt0091118,tt0080645,tt0067134,tt0082379,tt0038621,tt0079869,tt0069840,tt0088822,tt0136376
tt0205461,tt0086815,tt1371126,tt4327382,tt1474918,tt4388664,tt2213346,tt1965235,tt3655680,tt3282174,tt0134304,tt2641678,tt1683981
tt0039204,tt0040366,tt0043625,tt0042281,tt0039536,tt0041859,tt0034162,tt0039211,tt0033987,tt0041088,tt0041239,tt0039286,tt0042035
tt0244094,tt0245479,tt0138705,tt0078444,tt0393836,tt0418835,tt0276744,tt0120813,tt0756677,tt3660078,tt0476988,tt0084111,tt1376709
tt0044209,tt0039761,tt0043643,tt0041790,tt8851346,tt0043091,tt0044722,tt0045004,tt0046208,tt0050271,tt0044012,tt0047146,tt0047584
tt0053106,tt0050634,tt0058604,tt0047650,tt0075404,tt0052600,tt0043156,tt0022970,tt0048482,tt0058001,tt0046517,tt0053317,tt0019403
tt0190798,tt0146468,tt0118788,tt0090259,tt0092693,tt0243794,tt0101317,tt0158030,tt0325145,tt0441297,tt1688649,tt0350193,tt0057333
tt0380066,tt2527186,tt0760187,tt0475937,tt0094850,tt0377749,tt1910645,tt13247254,tt0303361,tt0367153,tt9214766,tt0360348,tt0076683
tt0063050,tt0063483,tt0065872,tt0040765,tt0057251,tt0071806,tt0060921,tt0065582,tt0029310,tt0053796,tt0053003,tt0056541,tt0062977
tt0032477,tt0035309,tt0026922,tt0047860,tt0061786,tt0038026,tt0039659,tt0044324,tt0035689,tt0033918,tt0029310,tt0023074,tt0041327
tt0089853,tt0093818,tt0087003,tt0086637,tt0091167,tt0097123,tt0081554,tt0073312,tt0104466,tt0084329,tt0099012,tt0079522,tt0077742
tt0084412,tt0091159,tt0087507,tt0085970,tt0097235,tt0110771,tt0094884,tt0076100,tt0092104,tt0094021,tt0117108,tt0072173,tt0078711
tt0103105,tt0116581,tt3792960,tt3625930,tt7232740,tt0092090,tt14905528,tt0202077,tt0118201,tt0068348,tt13919968,tt12749460,tt10560404
tt0022792,tt0025226,tt0021673,tt0023642,tt0023125,tt0023817,tt0023594,tt0026191,tt0024675,tt0020815,tt0132979,tt0021770,tt0022676
tt0210065,tt0099951,tt0191996,tt0203119,tt0113375,tt0200095,tt0119792,tt0429715,tt0220580,tt0221073,tt0079871,tt0385705,tt1683921
tt0037179,tt0038250,tt0038342,tt0038161,tt0036135,tt0050096,tt0039509,tt0032610,tt0024435,tt0040799,tt0050405,tt0038714,tt0041945
tt0064100,tt0064117,tt0078444,tt0071598,tt0064679,tt0069564,tt0097276,tt0073692,tt0065775,tt0074963,tt0057263,tt0061089,tt0066892
tt0118819,tt0113083,tt0103030,tt0913425,tt0275491,tt0101026,tt0107315,tt0095675,tt0185125,tt0287467,tt0093412,tt0441909,tt0085496
tt0052847,tt0054923,tt0058806,tt0058953,tt0052126,tt0021647,tt0057556,tt0051196,tt0057100,tt0054469,tt0053320,tt0023790,tt0054759
tt0075669,tt0077451,tt0079590,tt0072860,tt0070947,tt0084385,tt0084630,tt0083349,tt0093949,tt0082644,tt0078418,tt0079963,tt0082594
tt0045631,tt0042343,tt0047370,tt0039973,tt0047263,tt0039482,tt0040751,tt0043646,tt0044159,tt0046928,tt0043812,tt0052013,tt0043435
tt0246134,tt2070776,tt1340107,tt0116242,tt0276276,tt2315596,tt1531901,tt4025514,tt8425058,tt11612058,tt0117973,tt0489225,tt8951692
tt0391728,tt0214388,tt6286072,tt0083520,tt0048929,tt3202408,tt0195130,tt0103917,tt0828103,tt0153854,tt0163318,tt6964844,tt0426906
tt0142242,tt0142239,tt0142237,tt0142236,tt1125254,tt0142238,tt0142241,tt0142243,tt0142234,tt0142244,tt0142233,tt0142235,tt0142240
tt0101694,tt0104006,tt0107057,tt0102900,tt0090738,tt0115645,tt0105699,tt0104027,tt0094731,tt0104389,tt0087951,tt0133412,tt0089360
tt0106827,tt0099512,tt0109739,tt0092974,tt0095107,tt0129908,tt0119068,tt0114469,tt0101821,tt0238206,tt0193221,tt0295240,tt0106400
tt0167132,tt0102397,tt0109255,tt0960790,tt0119472,tt0405743,tt1700258,tt0135790,tt0487271,tt10709742,tt2107814,tt1650536,tt3954222
tt0131646,tt0120199,tt0314063,tt0844760,tt0179183,tt0120224,tt0101366,tt0119630,tt0318081,tt0090192,tt0098350,tt0199753,tt0185183
tt0044170,tt0038769,tt0051588,tt0058863,tt0061802,tt0050585,tt0052295,tt0097694,tt0020697,tt0051980,tt0042286,tt0053306,tt0089832
tt0093201,tt0090915,tt0090021,tt0086911,tt0097910,tt0091630,tt0161591,tt3018070,tt2202377,tt1521197,tt0105698,tt3707086,tt1693999
tt0049843,tt0045492,tt0051055,tt0047203,tt0052296,tt0049966,tt0047811,tt0052918,tt0047919,tt0042281,tt0044128,tt0034812,tt0032811
tt0461769,tt0116515,tt0243889,tt0915749,tt0276935,tt2317089,tt0417243,tt5265960,tt0107736,tt0113725,tt0464038,tt0210302,tt4173478
tt0044110,tt0045876,tt0042742,tt0044186,tt0043687,tt0046348,tt0045847,tt0042629,tt0050470,tt0043408,tt0040512,tt0058745,tt0048248
tt0286261,tt0118818,tt0383694,tt0100024,tt0095302,tt1431181,tt1045670,tt0117589,tt0151568,tt0066842,tt2473794,tt0082727,tt0107653
